significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
104.7503,104.7503,324.2912,289.4044,187.4981,34.8869,136.7931,116.1049,104.0969,220.1944,1.2521,0.9833,0,20,1165173854.7093,117.7193,1165173853.8125,94.0000,1.6250,52.0000,297,49,47,1,10
68.8115,68.8115,201.6450,190.5421,114.6036,11.1029,87.0414,76.7989,64.1554,137.4896,1.2521,0.9833,0,13,1165173856.2719,134.1670,1165173855.6875,118.0000,1.0000,36.0000,302,49,48,1,10
209.3517,209.3517,644.5428,575.5064,367.1228,69.0364,277.4200,209.7173,210.3994,434.1434,1.3907,0.7089,0,40,1165173856.3816,81.0593,1165173853.1250,65.0000,5.7500,36.0000,308,48,49,1,10
73.0937,73.0937,227.1047,203.8545,134.0327,23.2502,93.0721,79.1726,72.5085,154.5962,1.3426,0.7983,0,16,1165173867.0670,54.1240,1165173864.7500,49.5000,4.5000,9.0000,332,51,50,1,10
452.9656,452.9656,1296.2727,1177.9024,720.5743,118.3703,575.6984,504.3904,493.2372,803.0355,1.2521,0.9833,0,68,1165173882.2498,109.4074,1165173880.7812,60.0000,2.2500,168.0000,340,52,51,1,10
35.5515,35.5515,137.0463,111.6032,65.3752,25.4431,71.6711,44.2976,87.1554,49.8908,1.3426,0.7983,0,12,1165173829.8515,156.8614,1165173826.5000,155.2500,7.0000,3.5000,344,30,52,1,10
995.1578,995.1578,2573.1455,2421.1591,1434.4283,151.9864,1138.7172,917.3150,941.6328,1631.5127,1.3907,0.7089,0,100,1165173885.3678,88.5043,1165173882.0625,34.0000,4.2500,152.0000,345,51,53,1,10
38.8697,38.8697,129.7581,115.6889,70.4320,14.0693,59.3262,38.7596,44.7274,85.0308,1.2963,0.8896,0,10,1165173875.5792,143.1744,1165173871.5000,141.7500,8.0000,2.5000,354,45,54,1,10
1613.0400,1613.0400,4133.4045,3840.3486,2296.4285,293.0558,1836.9760,1343.7629,1375.9859,2757.4186,1.2963,0.8896,0,139,1165173890.6363,150.4806,1165173886.6250,107.0000,9.7500,132.0000,356,51,55,1,10
53.5964,53.5964,159.1655,147.0725,84.0012,12.0930,75.1643,64.8139,67.0416,92.1239,1.3426,0.7983,0,10,1165173892.6617,91.8663,1165173891.6250,81.0000,2.0000,20.0000,369,47,56,1,10
