significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
138.4345, 138.4345, 457.0350, 390.8670, 248.2358, 66.1680, 208.7991, 130.4335, 175.6215, 281.4135, 1.2521, 0.9833, 0, 28, 1165173776.8336, 156.1803, 1165173766.5000, 151.2500, 18.0000, 11.0000, 164, 12, 43, 1, 10
43.3247, 43.3247, 162.6246, 139.2566, 83.2096, 23.3679, 79.4149, 50.9522, 76.2153, 86.4092, 1.3426, 0.7983, 0, 16, 1165173761.1889, 148.7763, 1165173755.5000, 145.2500, 11.0000, 5.5000, 174, 13, 44, 1, 10
23.7916, 23.7916, 190.2180, 94.0962, 88.8401, 96.1217, 101.3779, 23.6831, 168.0957, 22.1223, 1.4403, 0.6211, 0, 16, 1165173837.3066, 187.7611, 1165173832.5000, 186.2500, 13.0000, 4.0000, 181, 29, 45, 1, 10
23.9601, 23.9601, 193.1654, 94.6275, 89.3896, 98.5379, 103.7758, 24.9664, 170.3881, 22.7774, 1.4403, 0.6211, 0, 16, 1165173837.2723, 187.7653, 1165173832.5000, 186.2500, 13.0000, 4.0000, 183, 32, 46, 1, 10
23.9925, 23.9925, 193.6110, 94.7112, 89.5027, 98.8998, 104.1083, 24.9827, 170.7430, 22.8680, 1.4403, 0.6211, 0, 16, 1165173837.2698, 187.7650, 1165173832.5000, 186.2500, 13.0000, 4.0000, 187, 32, 47, 1, 10
24.1743, 24.1743, 193.5731, 95.1268, 89.9221, 98.4463, 103.6510, 25.0007, 170.8051, 22.7680, 1.4403, 0.6211, 0, 16, 1165173837.2698, 187.7653, 1165173832.5000, 186.2500, 13.0000, 4.0000, 191, 29, 48, 1, 10
24.3976, 24.3976, 194.6840, 95.6557, 90.5900, 99.0283, 104.0940, 24.9189, 171.9109, 22.7731, 1.4403, 0.6211, 0, 16, 1165173837.2612, 187.7639, 1165173832.5000, 186.2500, 13.0000, 4.0000, 197, 32, 49, 1, 10
24.0790, 24.0790, 136.0385, 80.0444, 61.8966, 55.9941, 74.1419, 9.0471, 125.6535, 10.3850, 1.3907, 0.7089, 0, 10, 1165173837.0452, 163.2660, 1165173834.5000, 161.7500, 7.0000, 3.5000, 199, 31, 50, 1, 10
24.1824, 24.1824, 193.6052, 95.1452, 89.9407, 98.4600, 103.6646, 25.0023, 170.8384, 22.7668, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 203, 31, 51, 1, 10
24.2841, 24.2841, 137.2003, 80.5059, 62.1875, 56.6944, 75.0128, 9.0646, 126.7144, 10.4859, 1.3907, 0.7089, 0, 10, 1165173837.0330, 163.2596, 1165173834.5000, 161.7500, 7.0000, 3.5000, 226, 30, 52, 1, 10
24.1811, 24.1811, 193.5983, 95.1423, 89.9377, 98.4560, 103.6606, 25.0028, 170.8303, 22.7680, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 230, 31, 53, 1, 10
24.1818, 24.1818, 193.6020, 95.1439, 89.9393, 98.4581, 103.6627, 25.0026, 170.8343, 22.7677, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 234, 31, 54, 1, 10
110.4695, 110.4695, 520.3957, 361.8524, 253.3854, 158.5433, 267.0102, 85.1211, 275.6780, 244.7177, 1.3426, 0.7983, 0, 43, 1165173841.8120, 140.2367, 1165173828.5000, 135.7500, 29.0000, 9.0000, 247, 32, 55, 1, 10
308.9340, 308.9340, 975.1672, 885.4514, 585.4636, 89.7158, 389.7037, 340.8747, 279.2907, 695.8765, 1.2963, 0.8896, 0, 70, 1165173846.9626, 101.1496, 1165173844.5625, 46.0000, 3.6250, 172.0000, 269, 35, 56, 1, 10
45.6951, 45.6951, 155.8646, 138.1537, 83.0294, 17.7109, 72.8352, 45.3508, 54.4847, 101.3799, 1.3907, 0.7089, 0, 13, 1165173804.3030, 153.5897, 1165173795.5000, 151.2500, 15.0000, 6.0000, 277, 19, 57, 1, 10
104.0463, 104.0463, 395.7819, 332.2667, 216.3394, 63.5152, 179.4425, 145.2516, 151.6630, 244.1189, 1.3426, 0.7983, 0, 36, 1165173854.6501, 155.1135, 1165173853.7188, 76.0000, 1.6250, 248.0000, 283, 36, 58, 1, 10
2426.4223, 2426.4223, 5863.9303, 5563.5335, 3230.1280, 300.3969, 2633.8023, 1868.9722, 2010.9737, 3852.9566, 1.2963, 0.8896, 0, 154, 1165173858.4676, 151.3960, 1165173854.3750, 105.0000, 9.7500, 142.0000, 290, 38, 59, 1, 10
