significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
20.9162,20.9162,157.1972,82.9436,70.8611,74.2536,86.3361,20.3982,141.6937,15.5035,1.4403,0.6211,0,14,1165173837.3392,187.6277,1165173834.7500,184.5000,6.5000,5.0000,459,45,102,1,10
239.3953,239.3953,844.5913,733.1214,448.9395,111.4699,395.6518,338.9337,349.0517,495.5396,1.2521,0.9670,0,65,1165173949.9611,123.7620,1165173946.1875,74.0000,6.1250,152.0000,462,63,103,1,10
42.7408,42.7408,162.2795,137.4606,84.0992,24.8189,78.1804,53.0861,61.7094,100.5701,1.3426,0.7820,0,16,1165173948.4728,141.6372,1165173941.5000,139.2500,16.0000,4.0000,464,58,104,1,10
40.8672,40.8672,141.7586,127.3757,71.4812,14.3829,70.2774,50.6540,63.0195,78.7391,1.4403,0.6048,0,13,1165173982.2252,134.2810,1165173975.5000,132.7500,15.0000,3.0000,466,70,105,1,10
23.2563,23.2563,189.4340,92.9489,87.6472,96.4851,101.7868,24.0250,166.9303,22.5037,1.4403,0.6211,0,16,1165173837.2864,187.7643,1165173832.5000,186.2500,13.0000,4.0000,468,37,106,1,10
3571.9812,3571.9812,8217.4957,7994.4064,4217.8235,223.0893,3999.6723,3153.6601,3362.7291,4854.7667,1.3426,0.7820,0,176,1165173959.1403,151.3559,1165173955.1250,107.0000,10.5000,144.0000,474,67,107,1,10
2990.6201,2990.6201,7195.9069,6808.7736,3722.6181,387.1332,3473.2888,2806.7848,2988.1449,4207.7619,1.2963,0.8733,0,177,1165173960.0889,150.4971,1165173955.8750,107.0000,9.7500,154.0000,476,66,108,1,10
91.1274,91.1274,325.0876,280.0043,164.6549,45.0833,160.4327,102.5534,150.5817,174.5059,1.2963,0.8733,0,28,1165174024.9597,131.9893,1165174011.5000,128.7500,30.0000,6.0000,514,80,109,1,10
24.3124,24.3124,137.3329,80.5851,62.2891,56.7478,75.0438,9.0079,126.8667,10.4662,1.3907,0.7089,0,10,1165173837.0587,163.2704,1165173834.5000,161.7500,7.0000,3.5000,522,31,110,1,10
24.1577,24.1577,191.9579,95.0130,90.0192,96.9449,101.9387,21.5011,169.6633,22.2945,1.4403,0.6211,0,16,1165173837.2832,187.7647,1165173832.5000,186.2500,13.0000,4.0000,525,37,111,1,10
445.9615,445.9615,1413.1983,1263.7032,763.9692,149.4952,649.2292,580.7907,535.6802,877.5182,1.2963,0.8733,0,93,1165173992.5940,123.4937,1165173988.9375,66.0000,5.5000,168.0000,532,79,112,1,10
1036.9890,1036.9890,2760.3500,2585.8995,1593.6879,174.4505,1166.6620,1020.2215,875.1771,1885.1729,1.2963,0.8733,0,124,1165173994.0863,94.4518,1165173989.1875,30.0000,6.2500,196.0000,533,78,113,1,10
33.4360,33.4360,115.3621,101.5557,71.3917,13.8064,43.9704,40.9882,27.3164,88.0457,1.3907,0.6926,0,10,1165173976.3431,43.5032,1165173972.5000,41.2500,7.0000,4.0000,543,73,114,1,10
31.8914,31.8914,134.5234,106.7760,66.4042,27.7474,68.1193,57.7800,75.0113,59.5122,1.2963,0.8733,0,14,1165173961.4742,155.5136,1165173953.5000,152.2500,17.0000,5.5000,559,63,115,1,10
756.0784,756.0784,2121.7151,1955.2265,1175.2670,166.4886,946.4481,815.7059,756.3431,1365.3719,1.3426,0.7820,0,113,1165174014.7659,101.1125,1165174009.6875,34.0000,6.5000,196.0000,560,81,116,1,10
629.7342,629.7342,1841.2042,1651.6324,1037.7933,189.5719,803.4109,680.3480,606.6931,1234.5112,1.2963,0.8733,0,102,1165174016.2421,94.5504,1165174012.5625,34.0000,5.0000,196.0000,564,83,117,1,10
66.7329,66.7329,177.9192,166.6947,98.5386,11.2245,79.3806,25.2105,68.2661,109.6531,1.2963,0.8570,0,8,1165174149.7074,110.1447,1165174147.5000,109.2500,5.0000,1.5000,573,113,118,1,10
81.3569,81.3569,288.4693,247.8169,176.7343,40.6523,111.7350,88.8644,83.6154,204.8538,1.3426,0.7820,0,26,1165174016.9850,48.3205,1165174008.7500,37.5000,14.0000,22.0000,587,82,119,1,10
543.5285,543.5285,1287.4495,1258.0114,771.9818,29.4380,515.4676,81.9210,367.1355,920.3140,1.2521,0.9507,0,38,1165174156.8268,111.3029,1165174147.5000,108.7500,21.0000,4.5000,596,113,120,1,10
